address,ID,First_Due_Date,First_Payment_Month,DisbursementMonth,DisbursementDate,loanamount,LOANNAME,totaldue,TERM,Paidflag
FCT,92000014,2021-04-05,2021-04-01,2021-02-01,2021-02-05,7900.0000000000,"Nano Loan - NTB Final",7900.00,3,paidin7
Lagos,92000017,2021-04-05,2021-04-01,2021-02-01,2021-02-05,8000.0000000000,"Nano Loan - NTB Final",8000.00,3,paidin7
Lagos,92000026,2021-03-08,2021-03-01,2021-02-01,2021-02-06,7000.0000000000,"Nano Loan - NTB Final",2100.00,3,paidin7
Lagos,92000036,2021-03-08,2021-03-01,2021-02-01,2021-02-06,12000.0000000000,"Nano Loan - NTB Final",3600.00,3,paidin7
Lagos,92000040,2021-03-08,2021-03-01,2021-02-01,2021-02-06,16500.0000000000,"Nano Loan - NTB Final",5280.00,3,paidin7
Lagos,92000047,2021-03-08,2021-03-01,2021-02-01,2021-02-06,10000.0000000000,"Nano Loan - NTB Final",3000.00,3,paidin7
Lagos,92000052,2021-03-08,2021-03-01,2021-02-01,2021-02-23,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Oyo,92000068,2021-04-06,2021-04-01,2021-03-01,2021-03-07,9900.0000000000,"Nano Loan - NTB Final",99.00,3,"not paid"
Lagos,92000076,2021-03-08,2021-03-01,2021-02-01,2021-02-06,6000.0000000000,"Nano Loan - NTB Final",1800.00,3,paidin7
Rivers,92000099,2021-03-08,2021-03-01,2021-02-01,2021-02-06,7000.0000000000,"Nano Loan - NTB Final",2240.00,3,paidin7
Lagos,92000113,2021-03-08,2021-03-01,2021-02-01,2021-02-06,6000.0000000000,"Nano Loan - NTB Final",1800.00,3,paidin7
Lagos,92000117,2021-03-08,2021-03-01,2021-02-01,2021-02-06,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,"not paid"
Lagos,92000124,2021-04-06,2021-04-01,2021-02-01,2021-02-06,10000.0000000000,"Nano Loan - NTB Final",10000.00,3,paidin7
Lagos,92000131,2021-03-08,2021-03-01,2021-02-01,2021-02-06,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Kaduna,92000142,2021-06-18,2021-06-01,2021-06-01,2021-06-10,20000.0000000000,"Nano Loan - NTB Final",6400.00,3,paidin7
