LoanId,MaxDPD
92191266,-5
92212887,100
92213121,-27
92213324,-1
92213397,8
92227601,108
92238942,92
92238965,12
92239128,59
92239215,-15
92213730,-1
92213813,0
92213918,-28
92213943,-3
92233877,-18
92233890,0
92234569,101
92250894,-9
92250928,0
92201364,0
92249684,5
92249709,0
92249732,0
92249770,81
92250019,-11
92250177,65
92250207,5
92250304,-9
92250425,-17
92248359,-3
92249831,80
92249844,0
92249861,-8
92249875,7
92249885,-5
92249959,0
92249973,81
92249993,-20
92249995,-7
92250046,3
92250064,81
92250112,-14
92250231,-3
92250356,3
92250363,0
92215792,4
92215819,0
92215875,0
92215904,126
92215942,127
92215946,22
92216059,-25
92216060,0
92216074,-10
92223187,4
92223212,-1
92223226,18
92223263,1
92223328,0
92223331,-1
92223337,0
92251833,77
92251923,-17
92251968,-3
92252001,3
92252046,5
92252051,79
92252099,-4
92252128,10
92252135,79
92252286,1
92252379,-10
92227345,26
92227392,-19
92199518,51
92222542,5
92222582,-90
92222596,1
92222615,-7
92222737,4
92224816,-29
92224953,114
92225002,-1
92225080,3
92225083,-1
92237695,1
92238019,89
92228994,107
92229060,1
92229070,0
92213070,0
92213119,4
92213262,-2
92213398,117
92213456,4
92216722,-1
92216763,124
92216766,-1
92216768,-22
92216776,5
92216840,125
92230876,106
92230880,105
92230896,106
92230905,7
92230935,106
92230965,0
92230980,0
92231007,2
92231022,-13
92244904,-13
92244936,87
92244966,82
92220394,0
92220455,-9
92220467,-23
92220475,58
92248047,-1
92248163,-7
92210952,133
92214653,129
92214655,1
92214663,129
92214668,0
92214669,-1
92214689,3
92214708,-1
92205637,-10
92231584,88
92231605,105
92231645,0
92231646,105
92231711,105
92231725,0
92231745,105
92249512,-10
92249559,-16
92249617,-2
92249618,0
92249660,-1
92249685,-19
92249719,-13
92249724,-1
92254205,0
92254221,76
92229534,3
92232151,-3
92232184,-5
92232200,-27
92232209,-20
92232228,2
92232231,17
92232259,0
92232292,0
92232324,-3
92232334,-4
92232353,0
92232368,103
92232380,103
92232394,1
92232406,104
92232422,103
92232441,22
92232471,2
92232501,-2
92232508,104
92232539,104
92232549,-15
92232553,104
92250808,-11
92250812,0
92250813,80
92250814,77
92214296,-7
92214368,1
92214456,1
92214493,129
92217830,94
92215996,-8
92216080,125
92216104,0
92216114,0
92216115,39
92230714,-20
92244180,1
92248862,1
92248961,81
92248975,0
92248978,34
92249075,0
92249088,-5
92249095,52
92249137,1
92249168,82
92249179,-3
92249191,0
92249279,-28
92212310,131
92212324,0
92211928,124
92211957,128
92211975,0
92211998,-23
92212189,-22
92212213,131
92212218,3
92212255,0
92224060,0
92224065,3
92224066,4
92238348,0
92247407,-17
92235647,99
92236302,-1
92236318,98
92227939,1
92228123,-1
92228136,-10
92228148,50
92228191,-16
92228231,-5
92228245,0
92228270,110
92231798,105
92231799,3
92243944,86
92228395,106
92230947,106
92230994,2
92231056,106
92231083,3
92254469,0
92254557,-27
92238515,0
92238565,94
92199736,-2
92213637,0
92213667,-3
92236102,66
92236134,-1
92236155,1
92236174,-1
92236236,98
92236263,0
92236265,-2
92236297,-7
92211803,-20
92211877,-1
92211889,-1
92211907,0
92225515,113
92225516,0
92225548,0
92225649,-16
92225652,-1
92242220,87
92225504,109
92204507,52
92220960,1
92220963,8
92221007,6
92221014,-2
92229588,108
92249494,-7
92201276,0
92224713,5
92224728,-5
92224733,-15
92224763,-8
92224800,-2
92224822,112
92236835,0
92228999,8
92242725,0
92215025,0
92215061,128
92215075,2
92215216,-13
92215223,0
92215258,1
92215272,18
92218580,4
92218620,0
92221510,-2
92221525,-3
92221526,-2
92221533,-12
92221538,1
92221541,-23
92221543,-1
92221566,119
92223499,-13
92219589,0
92221436,119
92221445,-2
92221451,-6
92230369,0
92230395,-6
92192137,0
92208088,103
92208159,-6
92219492,-5
92250452,79
92250611,0
92250621,81
92250628,51
92250668,80
92251800,19
92251852,-19
92251862,4
92252045,0
