,Train,Train %,Recent,Recent %,Diff,Log,PSI,sum
"(0.052, 0.22]",235,0.08362989323843416,415,0.0504436611158381,0.03318623212259606,0.5055439387545994,0.01677709849968162,0.12439369294245417
"(0.22, 0.29]",250,0.08896797153024912,512,0.062234107207973746,0.02673386432227537,0.3573732376638776,0.009553967648118373,0.12439369294245417
"(0.29, 0.33]",192,0.06832740213523132,385,0.04679713139662088,0.02153027073861044,0.3784889825811362,0.008148970266553075,0.12439369294245417
"(0.33, 0.38]",260,0.09252669039145907,535,0.06502977999270694,0.027496910398752128,0.35265182896066,0.009696835742887329,0.12439369294245417
"(0.38, 0.42]",228,0.08113879003558719,485,0.058952230460678254,0.022186559574908934,0.3194336828580964,0.007087134434963723,0.12439369294245417
"(0.42, 0.47]",266,0.09466192170818505,654,0.07949434787893521,0.015167573829249839,0.17462590216563925,0.0026486512635966928,0.12439369294245417
"(0.47, 0.51]",218,0.07758007117437722,554,0.06733924881487784,0.010240822359499385,0.14156732088294405,0.0014497657850724777,0.12439369294245417
"(0.51, 0.56]",251,0.0893238434163701,803,0.0976054454843807,-0.008281602068010596,-0.08866482997383897,0.0007342868392711527,0.12439369294245417
"(0.56, 0.6]",193,0.06868327402135231,596,0.07244439042178194,-0.003761116400429629,-0.05331353331932537,0.0002005184045321661,0.12439369294245417
"(0.6, 0.66]",242,0.08612099644128114,959,0.1165674000243102,-0.030446403583029052,-0.3027164038856129,0.009216625803904593,0.12439369294245417
"(0.66, 0.74]",244,0.08683274021352314,1176,0.1429439649933147,-0.05611122477979155,-0.49846895832423144,0.027969703766279497,0.12439369294245417
"(0.74, 0.94]",231,0.08220640569395017,1153,0.1401482922085815,-0.05794188651463132,-0.5334678649061266,0.03091013448759346,0.12439369294245417
